,set_id,mean_evmt,delta_evmt,type,dcfc_count,total_cost,cost_eff,
1,102,102731,0,basecase,0,0,NA,
2,110,103150.4,419.4,upgrade,5,442300,0.000948225,0.95
3,111,103200.6,469.6,upgrade,10,884600,0.000530861,0.53
4,112,103604,873,new,5,674100,0.00129506,1.30
5,113,103639,908,new,10,884600,0.001026453,1.03
6,114,106671.8,3940.8,new,5,674100,0.005846017,5.85
7,115,106717,3986,new,10,884600,0.004505991,4.51
