"","set_id","mean_evmt","delta_evmt","type","dcfc_count","total_cost","cost_eff"
"1",102,102731,0,"basecase",0,0,NA
"2",104,103252.6,521.600000000006,"upgrade",5,561750,0.000928526924788617
"3",105,103197,466,"upgrade",10,1123500,0.000414775255896751
"4",106,103450.2,719.199999999997,"new",5,674100,0.00106690402017504
"5",107,103470.6,739.600000000006,"new",10,1123500,0.000658299955496222
"6",108,106920,4189,"new",5,674100,0.00621421154131434
"7",109,106936.2,4205.2,"new",10,1123500,0.00374294615042278
